network,name,start_time,end_time,latitude,longitude,elevation,components,location_code
XF,H1425,2004-08-10,2005-12-31,32.281601,84.063698,4489.0,BHE BHN BHZ,01
XF,H1430,2004-06-12,2005-12-31,32.381599,84.131104,4485.0,BHE BHN BHZ,01
XF,H1440,2004-06-12,2005-12-31,32.454498,84.239601,4554.0,BHE BHN BHZ,01
XF,H1450,2004-06-12,2005-12-31,32.524101,84.271599,4652.0,BHE BHN BHZ,01
XF,H1460,2004-06-12,2005-12-31,32.598099,84.223503,4665.0,BHE BHN BHZ,01
XF,H1470,2004-06-14,2005-12-31,32.666698,84.215698,4687.0,BHE BHN BHZ,01
XF,H1480,2004-06-14,2005-12-31,32.7467,84.2164,4655.0,BHE BHN BHZ,01
XF,H1490,2004-06-14,2005-12-31,32.821602,84.2668,4818.0,BHE BHN BHZ,01
XF,H1500,2004-06-17,2005-12-31,32.8946,84.286301,5075.0,BHE BHN BHZ,01
XF,H1510,2004-06-17,2005-12-31,32.949001,84.304703,4964.0,BHE BHN BHZ,01
XF,H1520,2004-06-17,2005-12-31,33.0271,84.314796,4865.0,BHE BHN BHZ,01
XF,H1530,2004-06-17,2005-12-31,33.119099,84.221001,4660.0,BHE BHN BHZ,01
XF,H1540,2004-06-17,2005-12-31,33.193501,84.227798,4824.0,BHE BHN BHZ,01
XF,H1550,2004-06-17,2005-12-31,33.2644,84.245598,4683.0,BHE BHN BHZ,01
XF,H1560,2004-06-15,2005-12-31,33.307098,84.246399,4584.0,BHE BHN BHZ,01
XF,H1570,2004-06-15,2005-12-31,33.421902,84.262901,4700.0,BHE BHN BHZ,01
XF,H1580,2004-06-15,2005-12-31,33.5326,84.291298,4947.0,BHE BHN BHZ,01
XF,H1590,2004-06-16,2005-12-31,33.627899,84.1707,4830.0,BHE BHN BHZ,01
XF,H1600,2004-07-14,2005-12-31,33.750099,84.269501,4678.0,BHE BHN BHZ,01
XF,H1610,2004-06-16,2005-12-31,33.858398,84.262802,4809.0,BHE BHN BHZ,01
XF,H1620,2004-06-16,2005-12-31,33.9664,84.223396,5100.0,BHE BHN BHZ,01
XF,H1630,2004-06-16,2005-12-31,34.065399,84.227402,5342.0,BHE BHN BHZ,01
XF,NBENS,2002-11-08,2005-12-31,28.2379,84.371201,735.0,BHE BHN BHZ,01
XF,NBIRA,2002-10-30,2005-12-31,26.483999,87.266998,12.0,BHE BHN BHZ,01
XF,NBUNG,2002-10-23,2005-12-31,27.8771,85.8909,1191.0,BHE BHN BHZ,01
XF,NDOML,2002-12-10,2005-12-31,27.9753,84.281998,352.0,BHE BHN BHZ,01
XF,NG010,2002-11-02,2005-12-31,27.461399,84.2799,114.0,BHE BHN BHZ,01
XF,NG020,2002-11-01,2005-12-31,27.5702,84.329201,110.0,BHE BHN BHZ,01
XF,NG030,2002-11-01,2005-12-31,27.679701,84.403702,136.0,BHE BHN BHZ,01
XF,NG040,2002-11-08,2005-12-31,27.824301,84.463799,197.0,BHE BHN BHZ,01
XF,NG050,2002-11-09,2005-12-31,27.8606,84.564003,325.0,BHE BHN BHZ,01
XF,NG060,2002-11-07,2005-12-31,28.0016,84.623497,1097.0,BHE BHN BHZ,01
XF,NGUMB,2002-10-31,2005-12-31,27.5562,83.839104,530.0,BHE BHN BHZ,01
XF,NHILE,2002-11-01,2005-12-31,27.048201,87.324203,2088.0,BHE BHN BHZ,01
XF,NJANA,2002-11-03,2005-12-31,26.7106,85.924202,11.0,BHE BHN BHZ,01
XF,NKDMG,2002-10-01,2005-12-31,27.7188,85.316299,1319.0,BHE BHN BHZ,01
